"Carimbo de data/hora","Você conseguiu completar as tarefas sem erros?","Foi simples usar esse sistema.","Fui capaz de realizar as tarefas rapidamente usando este sistema","Me senti confortável e seguro com relação à confidencialidade da minha identidade usando o sistema.","Aprendi rapidamente a usar o sistema.","Quando apresentou problema, o sistema me mostrou caixas de texto que diziam como resolvê-lo.","Se eu cometesse algum erro, este era fácil e rapidamente corrigível.","As informações fornecidas pelo sistema eram claras e fáceis de entender.","As informações que busquei dentro do sistema estavam de fácil acesso.","As informações fornecidas dentro do sistema me foram úteis para entender a importância e a minha responsabilidade em realizar denúncias","A interface do sistema tinha boa usabilidade.","Me senti confortável com a interface do sistema e gostei dela.","O sistema possuía todas as funcionalidades que eu esperava que ele tivesse","Quais dificuldades você encontrou durante o uso? (Por mais que essa pergunta não seja obrigatória, sua opinião é importante para desenvolvermos um bom sistema).","Que sugestões você tem para melhorar a experiência? (Por mais que essa pergunta não seja obrigatória, sua opinião é importante para desenvolvermos um bom sistema).","Você conseguiu completar todas as tarefas propostas?","Você usaria este produto novamente?","Resuma em poucas palavras o que você entendeu do objetivo do OdontoGuardião."
"2025/03/18 9:41:50 AM GMT-3","Sim","Concordo parcialmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo totalmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo totalmente.","","- Remover da explicação no aplicativo a obrigatoriedade do CRO
- Sinalizar quando a pergunta é obrigatória com asterisco
- Acrescentar alterações comportamentais como possível suspeita de maus tratos
- Deixar a localização da lesão em caixa de texto aberta para ser descrita ","Sim","Sim","Facilitar a denúncia de maus tratos infantil pelo cirurgião-dentista "
"2025/03/20 9:47:36 AM GMT-3","Encontrei algumas dificuldades ","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Discordo parcialmente.","Concordo totalmente.","Concordo parcialmente.","Concordo totalmente.","Discordo parcialmente","Não sei se por falta de conhecimento, mas acho que as imagens mostrando os tipos de lesões e as progressões dela, ajudaria a identificar melhor","Especificar a parte da cabeça que diferencia da face. Mostrar como era o formulário antes pra comparar o que alterou. Acho que tinha algo legal que foi removido.","Sim","Sim","Denunciar, defender o menor"
"2025/03/20 9:58:50 AM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Nenhuma","","Sim","Sim","Objetivo e fácil de usar! Muito bom! "
"2025/03/20 10:11:18 AM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Não encontrei dificuldades. Achei o sistema bem estruturado e de fácil acesso. ","A interface do aplicativo está dinâmica, de fácil acesso e autoexplicativa. As informações encontram-se claras e objetivas. Não tenho sugestões, tendo em vista o alcance da proposta do aplicativo. ","Sim","Sim","Acredito que o aplicativo tenha como objetivo auxiliar na detecção de casos de maus tratos, contribuindo para intervenção e implementação das medidas cabíveis em cada caso. "
"2025/03/20 10:26:55 AM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","Concordo totalmente.","Neutro.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Nenhuma. ","Deixar mais específico locais da lesão em face. Deixar mais explicitado as responsabilidades do cirurgião dentista frente a denúncia. ","Sim","Sim","Achei a abordagem interessante e eficiente. "
"2025/04/09 3:23:38 PM GMT-3","Sim","Concordo parcialmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo parcialmente.","Concordo totalmente.","Concordo totalmente.","Concordo parcialmente.","O link do app poderia ser enviado inicialmente já que posteriormente ele já direciona para esse formulário.","Reforçar a questão do anonimato e segurança ao profissional e ressaltar a importância do app e o nome em maior destaque na interface inicial.","Sim","Sim","É uma forma de identificar e realizar a denúncia de maus tratos através de um canal direto, uma vez que muitos profissionais podem apresentar dificuldade de identificar casos como este e também medo/insegurança de levar para frente a denúncia."
"2025/04/09 4:46:50 PM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","","","Sim","Sim","Um aplicativo intuitivo, prático e extremamente relevante para a sociedade. "
"2025/04/09 6:06:42 PM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Neutro.","Concordo totalmente.","Neutro.","Neutro.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","","","Sim","Sim","Constituir um facilitador na detecção de maus tratos e abuso infantil "
"2025/04/10 7:57:39 PM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Neutro.","Neutro.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Discordo parcialmente","","Senti falta de espaço para outros tipos de achados, tais como questões comportamentais, sinais de negligência, entre outros. Apesar do maior contato com região de cabeça e pescoço em nosso cotidiano, seria importante, ao meu ver, ampliar esse escopo.","Sim","Sim","Aplicativo de interface bem simples e intuitiva. Durante o uso, não apareceu nenhum problema."
"2025/07/21 10:37:32 AM GMT-3","Sim","Concordo totalmente.","Concordo totalmente.","Neutro.","Concordo totalmente.","Neutro.","Neutro.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","Concordo totalmente.","","","Sim","Sim","Excelente "
